"filename", "language", "PHP", "Markdown", "JavaScript", "SCSS", "SVG", "CSS", "Less", "Django HTML", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\demae-sample\app\lib\js\dictionary.js", "JavaScript", 0, 0, 240, 0, 0, 0, 0, 0, 0, 0, 0, 240
"c:\xampp\htdocs\demae-sample\app\lib\js\translator.js", "JavaScript", 0, 0, 106, 0, 0, 0, 0, 0, 0, 2, 7, 115
"c:\xampp\htdocs\demae-sample\app\lib\php\DB\Action.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\xampp\htdocs\demae-sample\app\lib\php\DB\Attribute.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"c:\xampp\htdocs\demae-sample\app\lib\php\DB\Backup.php", "PHP", 103, 0, 0, 0, 0, 0, 0, 0, 0, 22, 26, 151
"c:\xampp\htdocs\demae-sample\app\lib\php\DB\Column.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12
"c:\xampp\htdocs\demae-sample\app\lib\php\DB\Condition.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\xampp\htdocs\demae-sample\app\lib\php\DB\Controller.php", "PHP", 63, 0, 0, 0, 0, 0, 0, 0, 0, 24, 17, 104
"c:\xampp\htdocs\demae-sample\app\lib\php\DB\Credential.php", "PHP", 75, 0, 0, 0, 0, 0, 0, 0, 0, 43, 9, 127
"c:\xampp\htdocs\demae-sample\app\lib\php\DB\DataType.php", "PHP", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 159
"c:\xampp\htdocs\demae-sample\app\lib\php\DB\Database.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 30, 14, 97
"c:\xampp\htdocs\demae-sample\app\lib\php\DB\File.php", "PHP", 87, 0, 0, 0, 0, 0, 0, 0, 0, 48, 26, 161
"c:\xampp\htdocs\demae-sample\app\lib\php\DB\Location.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\xampp\htdocs\demae-sample\app\lib\php\DB\Model.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 0, 0, 91, 12, 167
